country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
ZH,Africa Eastern and Southern,GDP growth (annual %),2024,2.763838691,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2023,1.931160352,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2022,3.722716923,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2021,4.578772069,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2020,-2.817572087,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2019,2.030076862,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2018,2.705194134,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2017,2.677523897,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2016,2.13011703,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2024,4.585673621,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2023,3.662427529,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2022,4.472794685,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2021,2.549690832,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2020,-3.730629842,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2019,3.281682769,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2018,2.904664308,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2017,2.296348866,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2016,0.194316483,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2024,1.703531028,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2023,1.634950223,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2022,7.007759343,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2021,4.431608835,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2020,-5.301027869,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2019,1.747781122,Aggregates,Aggregates,Aggregates,,
