country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,7.772704811,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.806410784,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,7.985202252,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,8.577384992,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.191394911,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.584418799,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.360513104,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,7.346330634,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,7.194665995,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.218313421,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,3.277245466,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,3.658573181,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.736731762,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.852392701,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.395271211,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.323630954,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,4.274196204,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,4.157574374,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,9.459863627,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,9.581397143,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,9.953570646,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,10.88965878,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.32561254,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.21609802,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10.65973963,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,11.11310755,Aggregates,Aggregates,Aggregates,,
1A,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,10.8562902,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,7.423938916,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,7.821884021,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,8.388552353,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,9.538943393,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.86550042,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.162114305,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.422285556,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,8.220608871,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,8.498719006,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,3.86713329,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,4.014233921,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,3.98390654,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,4.46083553,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.361481611,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.770153482,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.303695628,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2017,5.28282284,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2016,6.480099969,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2024,5.298738986,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2023,5.260029505,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2022,5.714150891,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2021,6.786333959,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.410809782,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.334711304,Aggregates,Aggregates,Aggregates,,
