country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2024,28.8,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2023,27.8,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2022,26.8,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2021,25,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2020,23.5,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2019,21.6,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2018,19.6,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2017,17.3,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2016,16.3,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2024,40,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2023,38.5,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2022,37.5,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2021,34.7,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2020,31.5,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2019,28.5,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2018,25.7,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2017,23.8,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Individuals using the Internet (% of population),2016,20.9,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Individuals using the Internet (% of population),2024,,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Individuals using the Internet (% of population),2023,,Aggregates,Aggregates,Aggregates,,
