country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2024,3.19825E+11,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2023,3.08446E+11,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2022,3.33485E+11,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2021,2.88028E+11,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2020,2.09517E+11,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2019,2.45596E+11,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2018,2.58814E+11,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2017,2.32937E+11,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2016,1.9713E+11,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2023,1.69526E+12,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2022,1.79285E+12,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2021,1.28042E+12,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2020,9.31629E+11,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2019,1.25008E+12,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2018,1.2971E+12,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2017,1.09114E+12,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2016,9.5367E+11,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2024,1.43612E+12,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2023,1.42587E+12,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2022,1.34112E+12,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2021,1.21586E+12,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2020,9.84787E+11,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2019,1.04065E+12,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2018,1.04201E+12,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2017,9.2921E+11,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,Exports of goods and services (current US$),2016,8.22183E+11,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2024,3.97858E+12,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2023,3.86338E+12,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2022,3.98635E+12,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2021,3.25407E+12,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2020,2.42587E+12,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2019,2.91679E+12,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2018,2.98996E+12,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2017,2.69066E+12,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,Exports of goods and services (current US$),2016,2.3827E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2024,9.91397E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2023,9.30934E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2022,9.6986E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2021,9.05108E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2020,7.22964E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2019,7.54252E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2018,7.70657E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2017,7.09551E+12,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,Exports of goods and services (current US$),2016,6.41289E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2024,5.38463E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2023,4.98614E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2022,5.27324E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2021,4.90034E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2020,3.83019E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2019,3.85917E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2018,3.88122E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2017,3.54323E+12,Aggregates,Aggregates,Aggregates,,
4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2016,3.18488E+12,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2024,5.37762E+12,Aggregates,Aggregates,Aggregates,,
T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2023,4.9796E+12,Aggregates,Aggregates,Aggregates,,
